Transaction_ID,Account_ID,Transaction_Date,Channel,Transaction_Type,Category,Amount,Is_Potential_Fraud
TXN000001,ACC00285,2022-03-12,ATM,Debit,Fees,138004.06,0
TXN000002,ACC00310,2023-04-20,POS,Credit,Bills,171559.85,0
TXN000003,ACC00090,2021-12-26,POS,Debit,EMI,28990.58,0
TXN000004,ACC00085,2023-05-14,Branch,Credit,Transfer,14703.97,0
TXN000005,ACC00273,2022-09-26,UPI,Credit,Salary,2355.38,0
TXN000006,ACC00336,2021-08-02,Online,Debit,Salary,191134.67,0
TXN000007,ACC00188,2023-07-05,ATM,Debit,Transfer,60075.54,0
TXN000008,ACC00159,2022-08-15,UPI,Credit,Fees,91928.01,0
TXN000009,ACC00243,2021-05-15,UPI,Debit,Shopping,78935.0,0
TXN000010,ACC00073,2023-01-24,ATM,Debit,Cash Withdrawal,146104.86,0
TXN000011,ACC00049,2022-01-21,Online,Debit,Shopping,62027.48,0
TXN000012,ACC00101,2022-01-24,ATM,Debit,Shopping,107113.8,1
TXN000013,ACC00002,2023-01-14,Online,Credit,Transfer,199116.67,0
TXN000014,ACC00244,2022-12-05,Branch,Debit,EMI,88840.51,0
TXN000015,ACC00176,2023-07-14,Online,Debit,EMI,110276.74,0
TXN000016,ACC00238,2023-02-12,UPI,Debit,Cash Withdrawal,100530.49,0
TXN000017,ACC00398,2023-05-14,Branch,Debit,Cash Withdrawal,160647.07,0
TXN000018,ACC00059,2023-11-26,POS,Credit,Bills,53404.59,0
TXN000019,ACC00353,2021-03-20,Branch,Debit,Bills,34129.08,0
TXN000020,ACC00099,2022-11-05,Online,Debit,Shopping,150830.93,0
TXN000021,ACC00442,2021-11-08,Branch,Debit,Transfer,83152.86,0
TXN000022,ACC00359,2021-07-23,Branch,Credit,Cash Withdrawal,182749.52,0
TXN000023,ACC00442,2023-09-12,POS,Debit,Salary,128849.65,0
TXN000024,ACC00435,2021-01-17,Online,Credit,EMI,112890.41,0
TXN000025,ACC00002,2022-04-21,UPI,Debit,Fees,14137.89,0
TXN000026,ACC00243,2023-10-14,Branch,Debit,Transfer,146095.86,0
TXN000027,ACC00297,2021-07-29,ATM,Credit,Cash Withdrawal,137223.77,0
TXN000028,ACC00211,2022-05-14,UPI,Credit,Bills,128032.38,0
TXN000029,ACC00123,2022-03-05,Branch,Debit,Cash Withdrawal,53618.51,0
TXN000030,ACC00229,2021-02-27,UPI,Debit,EMI,189350.53,0
TXN000031,ACC00082,2023-09-21,ATM,Debit,Cash Withdrawal,64364.94,0
TXN000032,ACC00144,2022-06-06,UPI,Debit,EMI,30488.58,0
TXN000033,ACC00388,2022-08-04,UPI,Debit,Transfer,197440.87,0
TXN000034,ACC00140,2023-06-18,ATM,Credit,Cash Withdrawal,149261.94,0
TXN000035,ACC00029,2022-09-13,ATM,Debit,Cash Withdrawal,82986.64,0
TXN000036,ACC00391,2023-12-04,ATM,Credit,Bills,187186.49,0
TXN000037,ACC00270,2023-08-24,POS,Credit,Transfer,18268.92,0
TXN000038,ACC00247,2023-06-29,ATM,Debit,Salary,17577.86,0
TXN000039,ACC00012,2022-05-08,UPI,Debit,EMI,136506.08,0
TXN000040,ACC00355,2022-05-14,ATM,Credit,Fees,35635.51,0
TXN000041,ACC00389,2023-11-08,Branch,Credit,Fees,183432.05,0
TXN000042,ACC00337,2022-08-28,ATM,Debit,Transfer,168079.82,0
TXN000043,ACC00106,2023-08-06,ATM,Credit,Fees,61308.13,0
TXN000044,ACC00032,2021-10-21,Online,Credit,Transfer,177773.47,0
TXN000045,ACC00074,2021-06-21,UPI,Credit,Fees,8625.39,0
TXN000046,ACC00171,2022-06-15,UPI,Debit,Salary,109750.14,0
TXN000047,ACC00337,2021-03-07,Branch,Debit,Transfer,187115.78,0
TXN000048,ACC00069,2021-05-21,POS,Credit,EMI,171083.83,0
TXN000049,ACC00301,2022-03-22,Online,Credit,Fees,71246.86,0
TXN000050,ACC00362,2021-07-08,Branch,Debit,Shopping,36614.94,0
TXN000051,ACC00137,2021-06-07,Branch,Debit,Shopping,42147.59,0
TXN000052,ACC00433,2022-11-01,UPI,Credit,Bills,102925.85,0
TXN000053,ACC00417,2021-09-03,Online,Debit,Salary,119374.75,0
TXN000054,ACC00100,2023-05-06,UPI,Debit,Bills,6611.22,1
TXN000055,ACC00146,2023-08-02,POS,Debit,Shopping,82739.63,0
TXN000056,ACC00009,2023-01-18,UPI,Debit,Salary,166085.9,0
TXN000057,ACC00062,2023-11-23,ATM,Debit,Transfer,88893.57,0
TXN000058,ACC00185,2021-11-26,UPI,Credit,Transfer,33876.62,0
TXN000059,ACC00029,2022-05-27,ATM,Credit,EMI,190974.32,0
TXN000060,ACC00381,2023-04-30,Branch,Debit,Cash Withdrawal,53291.79,0
TXN000061,ACC00114,2023-12-31,POS,Debit,Shopping,159695.73,0
TXN000062,ACC00409,2021-03-20,ATM,Debit,Transfer,38799.14,0
TXN000063,ACC00143,2021-06-18,POS,Debit,Salary,84663.39,0
TXN000064,ACC00390,2023-03-21,UPI,Credit,Cash Withdrawal,98109.99,0
TXN000065,ACC00120,2023-09-10,UPI,Credit,Cash Withdrawal,100152.03,0
TXN000066,ACC00170,2021-06-29,Branch,Debit,Transfer,103318.95,0
TXN000067,ACC00157,2021-09-17,UPI,Debit,Bills,45028.26,0
TXN000068,ACC00335,2023-10-26,ATM,Debit,Bills,103207.31,0
TXN000069,ACC00349,2021-10-24,Branch,Debit,Bills,96368.47,0
TXN000070,ACC00260,2022-09-12,POS,Debit,Cash Withdrawal,41783.46,0
TXN000071,ACC00082,2023-05-05,Branch,Credit,Bills,197638.9,0
TXN000072,ACC00242,2021-12-26,POS,Credit,Bills,173119.4,0
TXN000073,ACC00441,2021-04-27,Online,Debit,Cash Withdrawal,177520.89,0
TXN000074,ACC00433,2021-12-23,ATM,Debit,EMI,137129.93,0
TXN000075,ACC00172,2023-08-15,ATM,Credit,Bills,32021.41,0
TXN000076,ACC00231,2022-03-15,POS,Credit,EMI,113640.01,0
TXN000077,ACC00208,2022-06-06,UPI,Credit,EMI,164296.85,0
TXN000078,ACC00075,2021-07-18,UPI,Debit,Transfer,7795.36,0
TXN000079,ACC00270,2023-12-10,Online,Credit,Cash Withdrawal,99193.83,0
TXN000080,ACC00387,2022-11-01,POS,Debit,Salary,79254.77,0
TXN000081,ACC00114,2023-11-20,Online,Debit,Bills,42464.34,0
TXN000082,ACC00062,2021-01-31,POS,Credit,Salary,75681.09,0
TXN000083,ACC00362,2023-10-05,Online,Debit,Shopping,196700.33,0
TXN000084,ACC00320,2021-11-29,POS,Credit,EMI,144662.5,0
TXN000085,ACC00102,2022-10-22,ATM,Debit,Fees,59942.44,0
TXN000086,ACC00429,2021-06-26,Online,Credit,Shopping,121090.74,0
TXN000087,ACC00362,2022-01-05,Online,Credit,EMI,49368.92,0
