order_id,customer_id,product_id,payment_id,shipping_id,date_id,quantity,discount_pct,final_price,review_rating,promo_code_used,return_flag
1,42,2,1,1,50,3,15,127.86,5,1,1
2,26,12,2,1,16,3,5,540.7,5,0,0
3,48,1,3,2,42,2,5,70.36,5,0,1
4,44,12,1,3,29,3,10,512.24,1,0,0
5,22,13,3,1,49,3,10,882.68,2,0,1
6,34,14,1,1,7,1,5,32.5,1,1,0
7,9,8,3,3,58,2,20,354.32,2,1,0
8,1,5,3,3,20,1,10,366,4,1,0
9,42,1,1,2,14,3,10,99.98,5,0,0
10,37,8,3,3,28,2,10,398.61,3,0,1
11,42,1,2,1,12,2,20,59.25,4,0,1
12,24,12,1,3,13,1,10,170.75,4,0,1
13,40,4,1,3,27,2,5,821.48,2,1,1
14,50,7,3,1,45,1,10,221.63,4,1,0
15,2,7,2,1,40,1,20,197.01,2,1,0
16,37,7,3,1,1,1,5,233.95,1,1,1
17,10,14,1,1,35,2,15,58.16,4,1,1
18,25,15,1,3,25,2,15,78.37,2,0,0
19,5,1,3,3,1,2,10,66.65,1,1,1
20,41,10,3,2,44,1,10,87.6,4,0,0
21,19,9,3,3,26,3,5,1251.83,4,1,1
22,17,3,1,1,31,1,15,50.42,4,0,0
23,45,9,2,2,21,2,10,790.63,1,1,1
24,9,3,2,3,55,2,20,94.91,5,1,1
25,31,6,1,2,39,3,0,79.41,5,0,1
26,36,20,1,2,31,1,5,180.29,1,1,0
27,30,7,3,1,43,1,15,209.32,5,0,1
28,22,20,3,1,60,3,15,483.94,5,1,0
29,41,17,3,3,53,1,15,150.75,5,0,1
30,19,21,3,1,38,3,0,1201.17,4,0,1
31,25,3,2,3,2,3,10,160.16,5,0,0
32,3,12,3,3,59,1,5,180.23,5,1,0
33,28,2,1,2,33,3,15,127.86,4,1,0
34,49,11,2,2,40,2,20,134.26,5,1,1
35,48,18,3,1,22,1,15,336.52,4,0,0
36,50,12,3,1,42,1,15,161.26,2,1,1
37,3,5,1,1,20,3,5,1159.01,1,1,1
38,8,13,3,3,17,3,5,931.72,3,1,1
39,30,21,3,2,34,2,0,800.78,2,0,0
40,10,18,2,2,14,3,20,950.16,4,0,0
41,41,13,1,3,8,3,5,931.72,4,0,1
42,2,19,1,3,29,1,0,155.13,2,1,1
43,22,16,2,2,25,3,10,1073.63,4,1,0
44,8,10,3,1,10,2,0,194.66,4,0,1
45,23,7,2,1,14,1,5,233.95,2,0,1
46,46,15,3,2,18,1,0,46.1,2,0,0
47,39,18,1,2,50,1,10,356.31,3,1,0
48,31,7,3,1,22,2,15,418.64,2,1,1
49,18,18,1,3,33,1,15,336.52,3,1,0
50,7,4,1,2,3,1,20,345.89,2,1,1
51,3,12,2,3,9,2,0,379.44,1,0,0
52,48,2,3,3,17,1,20,40.11,2,0,1
53,40,14,1,2,39,3,20,82.1,1,0,1
54,16,5,3,3,10,2,10,732.01,2,0,0
55,48,2,2,1,58,3,20,120.34,2,0,1
56,10,4,1,3,23,1,20,345.89,5,0,1
57,5,17,3,3,34,1,0,177.35,1,0,0
58,42,11,1,3,3,3,20,201.38,4,1,1
59,3,4,3,2,32,1,10,389.12,3,1,0
60,21,7,1,1,26,2,15,418.64,4,1,1
61,42,10,3,1,4,2,0,194.66,5,1,1
62,8,7,3,2,7,1,5,233.95,5,1,1
63,26,18,2,3,3,1,5,376.1,3,0,0
64,10,7,2,3,33,2,5,467.89,2,1,0
65,39,20,3,2,14,2,15,322.63,5,1,1
66,34,15,3,1,6,2,15,78.37,3,0,1
67,23,10,3,1,46,2,10,175.19,2,1,1
68,42,21,1,2,25,1,20,320.31,1,0,0
69,15,3,1,1,19,1,15,50.42,5,1,1
70,5,17,3,1,36,1,15,150.75,4,1,0
71,10,8,1,2,30,1,15,188.23,4,1,0
72,37,7,2,3,31,3,5,701.84,3,1,1
73,34,2,2,1,47,2,0,100.28,3,0,0
74,39,19,2,2,29,2,0,310.26,4,1,0
75,49,21,1,3,23,2,5,760.74,5,1,0
76,1,5,1,1,34,3,15,1037.01,2,1,0
77,2,6,3,2,55,1,20,21.18,4,1,0
78,22,14,2,2,41,2,10,61.58,3,1,1
79,27,8,3,1,58,2,5,420.75,1,0,1
80,42,12,2,3,31,1,15,161.26,1,0,0
81,48,3,3,3,17,2,10,106.78,2,1,0
82,16,14,3,3,16,3,20,82.1,4,0,1
83,16,13,3,3,13,1,15,277.88,1,0,1
84,31,15,2,1,48,2,0,92.2,3,1,1
85,38,10,1,3,46,2,15,165.46,3,1,1
86,40,19,2,3,18,1,15,131.86,1,0,0
87,30,19,1,2,6,3,15,395.58,1,0,1
88,48,16,1,3,40,1,15,337.99,1,0,1
89,6,2,1,3,31,2,10,90.25,1,1,0
90,43,17,1,2,37,3,5,505.45,3,1,1
91,31,5,2,1,40,3,10,1098.01,5,1,0
92,41,9,1,2,5,2,20,702.78,5,0,1
93,42,16,2,2,44,2,20,636.22,3,0,1
94,11,10,2,3,45,3,10,262.79,5,0,0
95,10,8,3,1,53,2,0,442.9,3,1,1
96,40,18,3,3,26,2,10,712.62,5,0,0
97,10,4,2,3,35,2,15,735.01,2,1,0
98,21,10,2,1,47,3,0,291.99,5,0,0
99,12,8,2,1,33,3,0,664.35,3,0,0
100,3,9,1,1,52,1,5,417.28,4,1,1
101,6,8,1,1,8,3,15,564.7,2,1,0
102,2,21,2,2,39,1,5,380.37,1,0,1
103,34,4,3,1,27,3,5,1232.23,3,0,1
104,6,7,1,2,38,2,5,467.89,1,1,1
105,36,16,2,1,38,2,0,795.28,3,0,1
106,42,20,2,3,17,2,0,379.56,5,1,1
107,13,14,1,1,51,2,20,54.74,3,0,1
108,6,7,3,3,45,1,10,221.63,3,1,0
109,17,9,1,2,46,1,20,351.39,1,1,0
110,26,12,1,2,34,2,0,379.44,5,0,1
111,9,3,3,2,54,2,20,94.91,1,0,1
